"rownames","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","has_affair","has_affair_num","affair_cat","rating_factor","religious_factor","happy_bin"
1584,0,"Nữ",37,10,"Có con",4,16,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1585,0,"Nữ",32,10,"Có con",1,18,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
1590,0,"Nữ",22,4,"Không có con",3,14,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1594,0,"Nữ",27,7,"Có con",4,14,3,2,"Không",0,"Không (0 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
1595,0,"Nam",57,15,"Có con",5,18,5,2,"Không",0,"Không (0 lần)","2-Bất hạnh","5-Rất tôn giáo","Bất hạnh"
1603,0,"Nam",32,7,"Có con",2,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1608,0,"Nữ",27,1.5,"Không có con",4,17,1,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1609,0,"Nam",22,1.5,"Không có con",4,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1615,0,"Nữ",22,1.5,"Có con",4,14,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1616,0,"Nữ",32,7,"Có con",3,16,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1617,0,"Nữ",47,15,"Có con",3,16,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1620,0,"Nữ",22,0.75,"Không có con",3,16,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1621,0,"Nữ",22,1.5,"Có con",2,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1637,0,"Nữ",27,4,"Có con",1,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1638,0,"Nam",52,15,"Có con",4,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1650,0,"Nam",32,10,"Có con",4,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1654,0,"Nam",47,15,"Có con",4,16,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1665,0,"Nữ",27,7,"Có con",2,14,1,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1670,0,"Nữ",22,1.5,"Không có con",4,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1671,0,"Nữ",32,10,"Có con",2,16,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1675,0,"Nữ",22,0.75,"Không có con",2,16,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1688,0,"Nữ",22,1.5,"Không có con",2,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1691,0,"Nữ",42,15,"Có con",3,18,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1695,0,"Nữ",27,7,"Có con",5,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1698,0,"Nam",42,15,"Có con",4,16,4,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1704,0,"Nữ",57,15,"Có con",3,18,5,2,"Không",0,"Không (0 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
1705,0,"Nam",42,15,"Có con",3,18,6,2,"Không",0,"Không (0 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
1711,0,"Nữ",32,7,"Có con",2,14,1,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1719,0,"Nam",22,4,"Không có con",5,12,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1723,0,"Nữ",22,1.5,"Không có con",1,16,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1726,0,"Nữ",22,0.75,"Không có con",1,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1749,0,"Nữ",32,15,"Có con",4,12,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1752,0,"Nam",22,1.5,"Không có con",2,18,5,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1754,0,"Nam",27,4,"Có con",5,17,2,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1758,0,"Nữ",27,4,"Có con",4,12,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1761,0,"Nam",42,15,"Có con",5,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1773,0,"Nam",32,1.5,"Không có con",2,20,7,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1775,0,"Nam",57,15,"Không có con",4,9,3,1,"Không",0,"Không (0 lần)","1-Rất bất hạnh","4-Tôn giáo","Bất hạnh"
1786,0,"Nam",37,7,"Không có con",4,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1793,0,"Nam",52,15,"Có con",2,17,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1799,0,"Nam",47,15,"Có con",4,17,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1803,0,"Nữ",27,7,"Không có con",2,17,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1806,0,"Nữ",27,7,"Có con",4,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1807,0,"Nữ",22,4,"Không có con",2,14,3,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1808,0,"Nam",37,7,"Có con",2,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1814,0,"Nam",27,7,"Không có con",4,12,4,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1815,0,"Nam",42,10,"Có con",4,18,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1818,0,"Nữ",22,1.5,"Không có con",3,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1827,0,"Nữ",22,4,"Có con",2,14,1,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1834,0,"Nữ",57,15,"Không có con",4,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1835,0,"Nam",37,15,"Có con",4,14,4,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1843,0,"Nữ",27,7,"Có con",3,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1846,0,"Nữ",17.5,10,"Không có con",4,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1850,0,"Nam",22,4,"Có con",4,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1851,0,"Nữ",27,4,"Có con",2,16,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1854,0,"Nữ",37,15,"Có con",2,14,5,1,"Không",0,"Không (0 lần)","1-Rất bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1859,0,"Nữ",22,1.5,"Không có con",5,14,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1861,0,"Nam",27,7,"Có con",2,20,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1866,0,"Nam",27,4,"Có con",4,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1873,0,"Nam",22,0.125,"Không có con",1,16,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1875,0,"Nữ",27,7,"Có con",4,14,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1885,0,"Nữ",32,15,"Có con",5,16,5,3,"Không",0,"Không (0 lần)","3-Trung bình","5-Rất tôn giáo","Bất hạnh"
1892,0,"Nam",32,10,"Có con",4,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1895,0,"Nữ",32,15,"Có con",2,14,3,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1896,0,"Nữ",22,1.5,"Không có con",3,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1897,0,"Nam",27,4,"Có con",4,17,4,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1899,0,"Nữ",52,15,"Có con",5,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1904,0,"Nữ",27,7,"Có con",2,12,1,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1905,0,"Nữ",27,7,"Có con",3,12,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1908,0,"Nữ",42,15,"Có con",2,14,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1916,0,"Nữ",42,15,"Có con",4,14,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1918,0,"Nam",27,7,"Có con",4,14,3,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1920,0,"Nam",27,7,"Có con",2,20,6,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1930,0,"Nữ",42,15,"Có con",3,12,3,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1940,0,"Nam",27,4,"Có con",3,16,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
1947,0,"Nữ",27,7,"Có con",3,14,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1949,0,"Nữ",22,1.5,"Không có con",2,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1951,0,"Nữ",27,4,"Có con",4,14,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1952,0,"Nữ",22,4,"Không có con",4,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1960,0,"Nữ",22,1.5,"Không có con",2,16,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
9001,0,"Nam",47,15,"Không có con",4,14,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
9012,0,"Nam",37,10,"Có con",2,18,6,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
9023,0,"Nam",37,15,"Có con",3,17,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
9029,0,"Nữ",27,4,"Có con",2,16,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
6,3,"Nam",27,1.5,"Không có con",3,18,4,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
12,3,"Nữ",27,4,"Có con",3,17,1,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
43,7,"Nam",37,15,"Có con",5,18,6,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","5-Rất tôn giáo","Bất hạnh"
53,12,"Nữ",32,10,"Có con",3,17,5,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
67,1,"Nam",22,0.125,"Không có con",4,16,5,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
79,1,"Nữ",22,1.5,"Có con",2,14,1,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
122,12,"Nam",37,15,"Có con",4,14,5,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
126,7,"Nữ",22,1.5,"Không có con",2,14,3,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
133,2,"Nam",37,15,"Có con",2,18,6,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
138,3,"Nữ",32,15,"Có con",4,12,3,2,"Có",1,"Ít (1-3 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
154,1,"Nữ",37,15,"Có con",4,14,4,2,"Có",1,"Ít (1-3 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
159,7,"Nữ",42,15,"Có con",3,17,1,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
174,12,"Nữ",42,15,"Có con",5,9,4,1,"Có",1,"Nhiều (>=7 lần)","1-Rất bất hạnh","5-Rất tôn giáo","Bất hạnh"
176,12,"Nam",37,10,"Có con",2,20,6,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
181,12,"Nữ",32,15,"Có con",3,14,1,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
182,3,"Nam",27,4,"Không có con",1,18,6,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
186,7,"Nam",37,10,"Có con",2,18,7,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
189,7,"Nữ",27,4,"Không có con",3,17,5,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
204,1,"Nam",42,15,"Có con",4,16,5,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
215,1,"Nữ",47,15,"Có con",5,14,4,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
232,7,"Nữ",27,4,"Có con",3,18,5,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
233,1,"Nữ",27,7,"Có con",5,14,1,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
252,12,"Nam",27,1.5,"Có con",3,17,5,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
253,12,"Nữ",27,7,"Có con",4,14,6,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
274,3,"Nữ",42,15,"Có con",4,16,5,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
275,7,"Nữ",27,10,"Có con",4,12,7,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
287,1,"Nam",27,1.5,"Không có con",2,18,5,2,"Có",1,"Ít (1-3 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
288,1,"Nam",32,4,"Không có con",4,20,6,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
325,1,"Nữ",27,7,"Có con",3,14,1,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
328,3,"Nữ",32,10,"Có con",4,14,1,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
344,3,"Nam",27,4,"Có con",2,18,7,2,"Có",1,"Ít (1-3 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
353,1,"Nữ",17.5,0.75,"Không có con",5,14,4,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
354,1,"Nữ",32,10,"Có con",4,18,1,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
367,7,"Nữ",32,7,"Có con",2,17,6,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
369,7,"Nam",37,15,"Có con",2,20,6,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
390,7,"Nữ",37,10,"Không có con",1,20,5,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","1-Không","Bất hạnh"
392,12,"Nữ",32,10,"Có con",2,16,5,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
423,7,"Nam",52,15,"Có con",2,20,6,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
432,7,"Nữ",42,15,"Có con",1,12,1,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","1-Không","Bất hạnh"
436,1,"Nam",52,15,"Có con",2,20,6,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
483,2,"Nam",37,15,"Có con",3,18,6,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
513,12,"Nữ",22,4,"Không có con",3,12,3,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
516,12,"Nam",27,7,"Có con",1,18,6,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","1-Không","Bất hạnh"
518,1,"Nam",27,4,"Có con",3,18,5,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
520,12,"Nam",47,15,"Có con",4,17,6,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
526,12,"Nữ",42,15,"Có con",4,12,1,1,"Có",1,"Nhiều (>=7 lần)","1-Rất bất hạnh","4-Tôn giáo","Bất hạnh"
528,7,"Nam",27,4,"Không có con",3,14,3,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
553,7,"Nữ",32,7,"Có con",4,18,4,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
576,1,"Nam",32,0.417,"Có con",3,12,3,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
611,3,"Nam",47,15,"Có con",5,16,5,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
625,12,"Nam",37,15,"Có con",2,20,5,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
635,7,"Nam",22,4,"Có con",2,17,6,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
646,1,"Nam",27,4,"Không có con",2,14,4,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
657,7,"Nữ",52,15,"Có con",5,16,1,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","5-Rất tôn giáo","Bất hạnh"
659,1,"Nam",27,4,"Không có con",3,14,3,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
666,1,"Nữ",27,10,"Có con",4,16,1,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
679,1,"Nam",32,7,"Có con",3,14,7,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
729,7,"Nam",32,7,"Có con",2,18,4,1,"Có",1,"Nhiều (>=7 lần)","1-Rất bất hạnh","2-Hơi tôn giáo","Bất hạnh"
755,3,"Nam",22,1.5,"Không có con",1,14,3,2,"Có",1,"Ít (1-3 lần)","2-Bất hạnh","1-Không","Bất hạnh"
758,7,"Nam",22,4,"Có con",3,18,6,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
770,7,"Nam",42,15,"Có con",4,20,6,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
786,2,"Nữ",57,15,"Có con",1,18,5,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
797,7,"Nữ",32,4,"Có con",3,18,5,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
811,1,"Nam",27,4,"Có con",1,16,4,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
834,7,"Nam",32,7,"Có con",4,16,1,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
858,2,"Nam",57,15,"Có con",1,17,4,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
885,7,"Nữ",42,15,"Có con",4,14,5,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
893,7,"Nam",37,10,"Có con",1,18,5,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","1-Không","Bất hạnh"
927,3,"Nam",42,15,"Có con",3,17,6,1,"Có",1,"Ít (1-3 lần)","1-Rất bất hạnh","3-Trung bình","Bất hạnh"
928,1,"Nữ",52,15,"Có con",3,14,4,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
933,2,"Nữ",27,7,"Có con",3,17,5,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
951,12,"Nam",32,7,"Có con",2,12,4,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
968,1,"Nam",22,4,"Không có con",4,14,2,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
972,3,"Nam",27,7,"Có con",3,18,6,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
975,12,"Nữ",37,15,"Có con",1,18,5,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
977,7,"Nữ",32,15,"Có con",3,17,1,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
981,7,"Nữ",27,7,"Không có con",2,17,5,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
986,1,"Nữ",32,7,"Có con",3,17,5,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1002,1,"Nam",32,1.5,"Có con",2,14,2,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1007,12,"Nữ",42,15,"Có con",4,14,1,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
1011,7,"Nam",32,10,"Có con",3,14,5,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1035,7,"Nam",37,4,"Có con",1,20,6,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","1-Không","Bất hạnh"
1050,1,"Nữ",27,4,"Có con",2,16,5,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1056,12,"Nữ",42,15,"Có con",3,14,4,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1057,1,"Nam",27,10,"Có con",5,20,6,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1075,12,"Nam",37,10,"Có con",2,20,6,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1080,12,"Nữ",27,7,"Có con",1,14,3,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","1-Không","Bất hạnh"
1125,3,"Nữ",27,7,"Có con",4,12,1,2,"Có",1,"Ít (1-3 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
1131,3,"Nam",32,10,"Có con",2,14,4,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1138,12,"Nữ",17.5,0.75,"Có con",2,12,1,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1150,12,"Nữ",32,15,"Có con",3,18,5,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1163,2,"Nữ",22,7,"Không có con",4,14,4,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1169,1,"Nam",32,7,"Có con",4,20,6,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1198,7,"Nam",27,4,"Có con",2,18,6,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1204,1,"Nữ",22,1.5,"Có con",5,14,5,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","5-Rất tôn giáo","Bất hạnh"
1218,12,"Nữ",32,15,"Không có con",3,17,5,1,"Có",1,"Nhiều (>=7 lần)","1-Rất bất hạnh","3-Trung bình","Bất hạnh"
1230,12,"Nữ",42,15,"Có con",2,12,1,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
